11	0.0	0.0	0.0	0.0	
71	0.578	0.111	0.231	0.058	
131	1.211	0.429	0.267	0.125	
191	1.845	0.679	0.267	0.249	
251	2.478	0.917	0.267	0.321	
311	3.111	1.154	0.267	0.385	
371	3.745	1.392	0.267	0.448	
431	4.378	1.629	0.267	0.511	
491	5.011	1.867	0.267	0.575	
551	5.645	2.108	0.267	0.638	
611	6.278	2.305	0.267	0.701	
671	6.911	2.479	0.267	0.765	
731	7.545	2.661	0.267	0.828	
791	8.178	2.804	0.267	0.891	
851	8.811	2.946	0.267	0.955	
911	9.445	3.089	0.267	1.018	
971	10.078	3.231	0.267	1.081	
1031	10.711	3.374	0.267	1.145	
1091	11.345	3.516	0.267	1.208	
1151	11.978	3.663	0.267	1.271	
1211	12.611	3.789	0.267	1.335	
1271	13.245	3.916	0.267	1.553	
1331	13.878	4.043	0.267	1.821	
1391	14.511	4.196	0.267	2.011	
1451	15.145	4.291	0.267	2.201	
1511	15.778	4.386	0.267	2.391	
1571	16.411	4.481	0.267	2.581	
1631	17.045	4.576	0.267	2.786	
1691	17.678	4.671	0.267	3.102	
1751	18.311	4.766	0.267	3.419	
1811	18.945	4.879	0.267	3.736	
1871	19.578	4.943	0.267	4.052	
1931	20.211	5.006	0.267	4.369	
1991	20.845	5.069	0.267	4.686	
2051	21.478	5.133	0.267	5.002	
2111	22.111	5.196	0.267	5.319	
2171	22.745	5.259	0.267	5.636	
2231	23.378	5.361	0.267	5.952	
2291	24.011	5.393	0.267	6.269	
2351	24.645	5.424	0.267	6.586	
2411	25.278	5.456	0.267	6.902	
2471	25.911	5.488	0.267	7.219	
2531	26.545	5.519	0.267	7.743	
2591	27.178	5.551	0.267	8.07	
2651	27.811	5.583	0.267	8.384	
2711	28.445	5.614	0.267	8.511	
2771	29.078	5.646	0.267	8.638	
2831	29.711	5.678	0.267	8.764	
2891	30.345	5.709	0.267	8.891	
2951	30.978	5.741	0.267	9.018	
3011	31.611	5.773	0.267	9.144	
3071	32.245	5.804	0.267	9.271	
3131	32.878	5.836	0.267	9.398	
3191	33.511	5.868	0.267	9.524	
3251	34.145	5.899	0.267	9.651	
3311	34.778	5.931	0.267	9.864	
3371	35.411	5.963	0.267	9.864	
3431	36.045	5.994	0.267	9.864	
3491	36.678	6.026	0.267	9.864	
3551	37.311	6.058	0.267	9.864	
3611	37.945	6.128	0.267	9.864	
3671	40.39	6.144	0.267	9.864	
3731	40.77	6.16	0.267	9.864	
3791	41.15	6.176	0.267	9.864	
3851	41.53	6.191	0.267	9.864	
3911	41.91	6.207	0.267	9.864	
3971	42.29	6.223	0.267	9.864	
4031	42.67	6.239	0.267	9.879	
4091	43.05	6.255	0.267	10.454	
4151	43.43	6.271	0.267	10.898	
4211	43.81	6.286	0.267	11.341	
4271	44.19	6.302	0.267	11.784	
4331	44.57	6.318	0.267	12.228	
