job_ID	STATUS	arrival	wait	start_time	runtime	end_time	CPUs	RAM(KB)	userID	user_name	queue	real_runtime	walltime_limit	backfilled
2	Success	16	0.0	16.0	60.0	76.0	2	0	1	urgent_tiny_user	priority_queue	60.0	1200.0	0
7	Success	17	0.0	17.0	60.0	77.0	8	0	3	normal_small_user	default_queue	60.0	3600.0	1
10	Success	19	0.0	19.0	60.0	79.0	1	0	1	urgent_tiny_user	priority_queue	60.0	900.0	0
12	Success	20	0.0	20.0	60.0	80.0	2	0	1	urgent_tiny_user	priority_queue	60.0	1800.0	0
13	Success	21	55.0	76.0	60.0	136.0	1	0	1	urgent_tiny_user	priority_queue	60.0	600.0	0
18	Success	26	51.0	77.0	60.0	137.0	1	0	1	urgent_tiny_user	priority_queue	60.0	2700.0	0
20	Success	28	52.0	80.0	60.0	140.0	2	0	1	urgent_tiny_user	priority_queue	60.0	3600.0	0
4	Success	16	0.0	16.0	501.0	517.0	12	0	3	normal_small_user	default_queue	501.0	2700.0	1
19	Success	27	50.0	77.0	679.0	756.0	1	0	1	urgent_tiny_user	priority_queue	679.0	3600.0	0
14	Success	22	54.0	76.0	1088.0	1164.0	1	0	1	urgent_tiny_user	priority_queue	1088.0	2700.0	0
16	Success	24	53.0	77.0	1311.0	1388.0	2	0	1	urgent_tiny_user	priority_queue	1311.0	3600.0	0
8	Success	18	0.0	18.0	1435.0	1453.0	1	0	1	urgent_tiny_user	priority_queue	1435.0	2700.0	0
11	Success	19	498.0	517.0	1330.0	1847.0	4	0	3	normal_small_user	default_queue	1330.0	3600.0	1
15	Success	23	54.0	77.0	1804.0	1881.0	2	0	1	urgent_tiny_user	priority_queue	1804.0	7200.0	0
9	Success	18	1829.0	1847.0	60.0	1907.0	12	0	3	normal_small_user	default_queue	60.0	600.0	1
23	Success	31	486.0	517.0	1937.0	2454.0	2	0	1	urgent_tiny_user	priority_queue	1937.0	2700.0	0
5	Success	17	0.0	17.0	3274.0	3291.0	2	0	1	urgent_tiny_user	priority_queue	3274.0	3600.0	0
6	Success	17	1890.0	1907.0	1612.0	3519.0	16	0	2	normal_large_user	default_queue	1612.0	1800.0	1
24	Success	1218	2301.0	3519.0	60.0	3579.0	16	0	2	normal_large_user	default_queue	60.0	900.0	1
1	Success	16	0.0	16.0	3609.0	3625.0	40	0	0	urgent_large_user	priority_queue	3609.0	7200.0	0
29	Success	3621	0.0	3621.0	60.0	3681.0	4	0	3	normal_small_user	default_queue	60.0	1800.0	1
