time	urgent_large_user	urgent_tiny_user	normal_large_user	normal_small_user	
71	0.578	0.112	0.0	0.287	
131	1.211	0.342	0.0	0.497	
191	1.845	0.583	0.0	0.687	
251	2.478	0.82	0.0	0.877	
311	3.111	1.058	0.0	1.067	
371	3.745	1.295	0.0	1.257	
431	4.378	1.533	0.0	1.447	
491	5.011	1.77	0.0	1.637	
551	5.645	2.026	0.0	1.839	
611	6.278	2.295	0.0	1.903	
671	6.911	2.564	0.0	1.966	
731	7.545	2.833	0.0	2.029	
791	8.178	3.103	0.0	2.093	
851	8.811	3.356	0.0	2.156	
911	9.445	3.609	0.0	2.219	
971	10.078	3.863	0.0	2.283	
1031	10.711	4.116	0.0	2.346	
1091	11.345	4.369	0.0	2.409	
1151	11.978	4.623	0.0	2.473	
1211	12.611	4.879	0.0	2.536	
1271	13.245	5.116	0.0	2.599	
1331	13.878	5.354	0.0	2.663	
1391	14.511	5.626	0.0	2.726	
1451	15.145	5.832	0.0	2.789	
1511	15.778	6.043	0.0	2.853	
1571	16.411	6.233	0.0	2.916	
1631	17.045	6.423	0.0	2.979	
1691	17.678	6.613	0.0	3.043	
1751	18.311	6.803	0.0	3.106	
1811	18.945	6.993	0.0	3.169	
1871	19.578	7.183	0.0	3.357	
1931	20.211	7.396	0.101	3.481	
1991	20.845	7.555	0.354	3.481	
2051	21.478	7.713	0.607	3.481	
2111	22.111	7.871	0.861	3.481	
2171	22.745	8.03	1.114	3.481	
2231	23.378	8.188	1.367	3.481	
2291	24.011	8.346	1.621	3.481	
2351	24.645	8.505	1.874	3.481	
2411	25.278	8.663	2.127	3.481	
2471	25.911	8.866	2.381	3.481	
2531	26.545	8.993	2.634	3.481	
2591	27.178	9.12	2.887	3.481	
2651	27.811	9.246	3.141	3.481	
2711	28.445	9.373	3.394	3.481	
2771	29.078	9.5	3.647	3.481	
2831	29.711	9.626	3.901	3.481	
2891	30.345	9.753	4.154	3.481	
2951	30.978	9.88	4.407	3.481	
3011	31.611	10.006	4.661	3.481	
3071	32.245	10.133	4.914	3.481	
3131	32.878	10.26	5.167	3.481	
3191	33.511	10.386	5.421	3.481	
3251	34.145	10.513	5.674	3.481	
3311	34.778	10.72	5.927	3.481	
3371	35.411	10.815	6.181	3.481	
3431	36.045	10.91	6.434	3.481	
3491	36.678	11.005	6.687	3.481	
3551	37.311	11.1	7.299	3.481	
3611	37.945	11.195	7.565	3.481	
3671	40.1	11.29	8.012	3.824	
3731	40.1	11.385	8.468	4.228	
3791	40.1	11.48	8.974	4.305	
3851	40.1	11.575	9.481	4.305	
3911	40.1	11.67	9.988	4.305	
3971	40.1	11.765	10.494	4.305	
4031	40.1	11.86	11.001	4.305	
4091	40.1	11.955	11.508	4.568	
4151	40.1	12.05	12.014	4.979	
4211	40.1	12.145	12.521	5.359	
4271	40.1	12.24	13.028	5.739	
4331	40.1	12.335	13.791	6.119	
4391	40.1	12.43	14.297	6.499	
4451	40.1	12.525	14.804	6.879	
4511	40.1	12.62	15.311	7.259	
4571	40.1	12.715	15.817	7.639	
4631	40.1	12.81	15.956	8.019	
4691	40.1	12.905	15.956	8.399	
4751	40.1	13.0	15.956	8.773	
4811	40.1	13.095	15.956	8.963	
4871	40.1	13.19	16.162	9.153	
4931	40.1	13.285	16.84	9.343	
4991	40.1	13.38	17.023	9.533	
5051	40.1	13.594	17.023	9.723	
5111	40.1	13.657	17.023	9.913	
5171	40.1	13.72	17.023	10.103	
5231	40.1	13.784	17.023	10.29	
5291	40.1	13.975	17.023	10.417	
5351	40.1	14.006	17.023	10.544	
5411	40.1	14.038	17.023	10.67	
5471	40.1	14.07	17.023	10.797	
5531	40.1	14.101	17.023	10.924	
5591	40.1	14.133	17.023	11.05	
5651	40.1	14.165	17.023	11.177	
5711	40.1	14.196	17.023	11.304	
5771	40.1	14.228	17.023	11.43	
5831	40.1	14.26	17.023	11.557	
5891	40.1	14.291	17.023	11.684	
5951	40.1	14.323	17.023	11.81	
6011	40.1	14.355	17.023	11.937	
6071	40.1	14.386	17.023	12.494	
6131	40.1	14.418	17.023	13.008	
