user_id	login	tuwt	nuwt	tusa	job_count	avg_user_wait	turam	avg_user_ram	avg_user_sq_area
0	urgent_large_user	15990.050400000158	0.02350897190105993	680168.0000000012	20.0	799.5	1.2004098048E10	6.002049024E8	34008.4
1	urgent_tiny_user	22389.965599994135	0.031109834418720585	719707.0	562.0	39.84	1.2434014208E10	2.212458044E7	1280.62
2	normal_large_user	482916.67679999396	0.0742019952871289	6508136.000000001	259.0	1864.54	1.32674224128E11	5.1225569161E8	25127.94
3	normal_small_user	241800.86559998666	0.036906921869941975	6551640.0	1102.0	219.42	1.28270204928E11	1.1639764513E8	5945.23
