job_ID	STATUS	arrival	wait	start_time	runtime	end_time	CPUs	RAM(KB)	userID	user_name	queue	real_runtime	walltime_limit	backfilled
2	Success	17	0.0	17.0	61.0	78.0	2	16777216	1	urgent_tiny_user	priority_queue	60.0	1200.0	0
7	Success	18	0.0	18.0	61.0	79.0	8	8388608	3	normal_small_user	default_queue	60.0	3600.0	1
10	Success	20	0.0	20.0	61.0	81.0	1	16777216	1	urgent_tiny_user	priority_queue	60.0	900.0	0
12	Success	21	0.0	21.0	61.0	82.0	2	16777216	1	urgent_tiny_user	priority_queue	60.0	1800.0	0
13	Success	22	56.0	78.0	61.0	139.0	1	8388608	1	urgent_tiny_user	priority_queue	60.0	600.0	0
18	Success	27	52.0	79.0	61.0	140.0	1	8388608	1	urgent_tiny_user	priority_queue	60.0	2700.0	0
20	Success	29	53.0	82.0	61.0	143.0	2	8388608	1	urgent_tiny_user	priority_queue	60.0	3600.0	0
4	Success	17	0.0	17.0	502.0	519.0	12	33554432	3	normal_small_user	default_queue	501.0	2700.0	1
19	Success	28	51.0	79.0	680.0	759.0	1	33554432	1	urgent_tiny_user	priority_queue	679.0	3600.0	0
14	Success	23	55.0	78.0	1089.0	1167.0	1	33554432	1	urgent_tiny_user	priority_queue	1088.0	2700.0	0
16	Success	25	54.0	79.0	1312.0	1391.0	2	33554432	1	urgent_tiny_user	priority_queue	1311.0	3600.0	0
8	Success	19	0.0	19.0	1436.0	1455.0	1	8388608	1	urgent_tiny_user	priority_queue	1435.0	2700.0	0
11	Success	20	499.0	519.0	1331.0	1850.0	4	16777216	3	normal_small_user	default_queue	1330.0	3600.0	1
15	Success	24	55.0	79.0	1805.0	1884.0	2	33554432	1	urgent_tiny_user	priority_queue	1804.0	7200.0	0
9	Success	19	1831.0	1850.0	61.0	1911.0	12	1048576	3	normal_small_user	default_queue	60.0	600.0	1
23	Success	32	487.0	519.0	1938.0	2457.0	2	33554432	1	urgent_tiny_user	priority_queue	1937.0	2700.0	0
5	Success	18	0.0	18.0	3275.0	3293.0	2	1048576	1	urgent_tiny_user	priority_queue	3274.0	3600.0	0
6	Success	18	1893.0	1911.0	1613.0	3524.0	16	33554432	2	normal_large_user	default_queue	1612.0	1800.0	1
24	Success	1219	2305.0	3524.0	61.0	3585.0	16	16777216	2	normal_large_user	default_queue	60.0	900.0	1
1	Success	17	0.0	17.0	3610.0	3627.0	40	33554432	0	urgent_large_user	priority_queue	3609.0	7200.0	0
29	Success	3622	0.0	3622.0	61.0	3683.0	4	1048576	3	normal_small_user	default_queue	60.0	1800.0	1
28	Success	3621	6.0	3627.0	61.0	3688.0	12	16777216	3	normal_small_user	default_queue	60.0	3600.0	0
27	Success	2422	1205.0	3627.0	61.0	3688.0	16	8388608	2	normal_large_user	default_queue	60.0	1800.0	1
25	Success	1220	2365.0	3585.0	129.0	3714.0	16	8388608	2	normal_large_user	default_queue	128.0	600.0	1
30	Success	3623	4.0	3627.0	108.0	3735.0	12	1048576	3	normal_small_user	default_queue	107.0	600.0	0
31	Success	3624	64.0	3688.0	61.0	3749.0	12	1048576	3	normal_small_user	default_queue	60.0	1800.0	0
32	Success	4055	0.0	4055.0	61.0	4116.0	8	33554432	3	normal_small_user	default_queue	60.0	900.0	0
3	Success	17	3697.0	3714.0	578.0	4292.0	32	8388608	2	normal_large_user	default_queue	577.0	900.0	0
26	Success	2421	1871.0	4292.0	289.0	4581.0	32	33554432	2	normal_large_user	default_queue	288.0	3600.0	0
34	Success	4057	0.0	4057.0	659.0	4716.0	12	1048576	3	normal_small_user	default_queue	658.0	1800.0	1
36	Success	4823	0.0	4823.0	61.0	4884.0	16	16777216	2	normal_large_user	default_queue	60.0	1800.0	0
37	Success	4824	60.0	4884.0	61.0	4945.0	48	1048576	2	normal_large_user	default_queue	60.0	900.0	0
17	Success	26	53.0	79.0	4939.0	5018.0	2	33554432	1	urgent_tiny_user	priority_queue	4938.0	7200.0	0
35	Success	4058	58.0	4116.0	1060.0	5176.0	4	33554432	3	normal_small_user	default_queue	1059.0	1800.0	0
21	Success	30	110.0	140.0	5127.0	5267.0	2	33554432	1	urgent_tiny_user	priority_queue	5126.0	7200.0	0
38	Success	6025	0.0	6025.0	61.0	6086.0	12	16777216	3	normal_small_user	default_queue	60.0	600.0	0
39	Success	6026	0.0	6026.0	61.0	6087.0	4	33554432	3	normal_small_user	default_queue	60.0	600.0	0
40	Success	6027	0.0	6027.0	331.0	6358.0	12	8388608	3	normal_small_user	default_queue	330.0	1200.0	0
43	Success	6630	0.0	6630.0	61.0	6691.0	8	8388608	3	normal_small_user	default_queue	60.0	600.0	0
45	Success	6632	0.0	6632.0	61.0	6693.0	12	1048576	3	normal_small_user	default_queue	60.0	1200.0	0
44	Success	6631	0.0	6631.0	148.0	6779.0	12	16777216	3	normal_small_user	default_queue	147.0	1200.0	0
22	Success	31	112.0	143.0	6762.0	6905.0	2	33554432	1	urgent_tiny_user	priority_queue	6761.0	7200.0	0
41	Success	6028	0.0	6028.0	946.0	6974.0	8	33554432	3	normal_small_user	default_queue	945.0	7200.0	0
47	Success	7226	0.0	7226.0	61.0	7287.0	16	1048576	2	normal_large_user	default_queue	60.0	2700.0	0
51	Success	7236	0.0	7236.0	61.0	7297.0	2	1048576	1	urgent_tiny_user	priority_queue	60.0	600.0	0
55	Success	7240	47.0	7287.0	61.0	7348.0	1	16777216	1	urgent_tiny_user	priority_queue	60.0	900.0	0
56	Success	7241	46.0	7287.0	61.0	7348.0	1	33554432	1	urgent_tiny_user	priority_queue	60.0	1200.0	0
57	Success	7242	45.0	7287.0	61.0	7348.0	2	33554432	1	urgent_tiny_user	priority_queue	60.0	1800.0	0
60	Success	7245	42.0	7287.0	61.0	7348.0	1	1048576	1	urgent_tiny_user	priority_queue	60.0	1200.0	0
62	Success	7247	40.0	7287.0	61.0	7348.0	2	33554432	1	urgent_tiny_user	priority_queue	60.0	1800.0	0
63	Success	7248	49.0	7297.0	180.0	7477.0	2	8388608	1	urgent_tiny_user	priority_queue	179.0	1200.0	0
61	Success	7246	41.0	7287.0	286.0	7573.0	2	8388608	1	urgent_tiny_user	priority_queue	285.0	2700.0	0
33	Success	4056	0.0	4056.0	3563.0	7619.0	8	16777216	3	normal_small_user	default_queue	3562.0	7200.0	0
53	Success	7238	49.0	7287.0	458.0	7745.0	2	1048576	1	urgent_tiny_user	priority_queue	457.0	7200.0	0
